Code géographique,Libellé géographique,"Résidences principales
Avant 1919
Maison","Résidences principales
Avant 1919
Appartement","Résidences principales
Avant 1919
Autres logements de métropole","Résidences principales
De 1919 à 1945
Maison","Résidences principales
De 1919 à 1945
Appartement","Résidences principales
De 1919 à 1945
Autres logements de métropole","Résidences principales
De 1946 à 1970
Maison","Résidences principales
De 1946 à 1970
Appartement","Résidences principales
De 1946 à 1970
Autres logements de métropole","Résidences principales
De 1971 à 1990
Maison","Résidences principales
De 1971 à 1990
Appartement","Résidences principales
De 1971 à 1990
Autres logements de métropole","Résidences principales
De 1991 à 2005
Maison","Résidences principales
De 1991 à 2005
Appartement","Résidences principales
De 1991 à 2005
Autres logements de métropole","Résidences principales
De 2006 à 2019
Maison","Résidences principales
De 2006 à 2019
Appartement","Résidences principales
De 2006 à 2019
Autres logements de métropole","Logements occasionnels
Avant 1919
Maison","Logements occasionnels
Avant 1919
Appartement","Logements occasionnels
Avant 1919
Autres logements de métropole","Logements occasionnels
De 1919 à 1945
Maison","Logements occasionnels
De 1919 à 1945
Appartement","Logements occasionnels
De 1919 à 1945
Autres logements de métropole","Logements occasionnels
De 1946 à 1970
Maison","Logements occasionnels
De 1946 à 1970
Appartement","Logements occasionnels
De 1946 à 1970
Autres logements de métropole","Logements occasionnels
De 1971 à 1990
Maison","Logements occasionnels
De 1971 à 1990
Appartement","Logements occasionnels
De 1971 à 1990
Autres logements de métropole","Logements occasionnels
De 1991 à 2005
Maison","Logements occasionnels
De 1991 à 2005
Appartement","Logements occasionnels
De 1991 à 2005
Autres logements de métropole","Logements occasionnels
De 2006 à 2019
Maison","Logements occasionnels
De 2006 à 2019
Appartement","Logements occasionnels
De 2006 à 2019
Autres logements de métropole","Résidences secondaires
Avant 1919
Maison","Résidences secondaires
Avant 1919
Appartement","Résidences secondaires
Avant 1919
Autres logements de métropole","Résidences secondaires
De 1919 à 1945
Maison","Résidences secondaires
De 1919 à 1945
Appartement","Résidences secondaires
De 1919 à 1945
Autres logements de métropole","Résidences secondaires
De 1946 à 1970
Maison","Résidences secondaires
De 1946 à 1970
Appartement","Résidences secondaires
De 1946 à 1970
Autres logements de métropole","Résidences secondaires
De 1971 à 1990
Maison","Résidences secondaires
De 1971 à 1990
Appartement","Résidences secondaires
De 1971 à 1990
Autres logements de métropole","Résidences secondaires
De 1991 à 2005
Maison","Résidences secondaires
De 1991 à 2005
Appartement","Résidences secondaires
De 1991 à 2005
Autres logements de métropole","Résidences secondaires
De 2006 à 2019
Maison","Résidences secondaires
De 2006 à 2019
Appartement","Résidences secondaires
De 2006 à 2019
Autres logements de métropole","Logements vacants
Avant 1919
Maison","Logements vacants
Avant 1919
Appartement","Logements vacants
Avant 1919
Autres logements de métropole","Logements vacants
De 1919 à 1945
Maison","Logements vacants
De 1919 à 1945
Appartement","Logements vacants
De 1919 à 1945
Autres logements de métropole","Logements vacants
De 1946 à 1970
Maison","Logements vacants
De 1946 à 1970
Appartement","Logements vacants
De 1946 à 1970
Autres logements de métropole","Logements vacants
De 1971 à 1990
Maison","Logements vacants
De 1971 à 1990
Appartement","Logements vacants
De 1971 à 1990
Autres logements de métropole","Logements vacants
De 1991 à 2005
Maison","Logements vacants
De 1991 à 2005
Appartement","Logements vacants
De 1991 à 2005
Autres logements de métropole","Logements vacants
De 2006 à 2019
Maison","Logements vacants
De 2006 à 2019
Appartement","Logements vacants
De 2006 à 2019
Autres logements de métropole"
95252,Franconville,169.80564,35.11678,0,566.11167,166.91608,0,842.80899,3308.28893,3.27952,1424.98043,5287.32266,11.07097,344.94794,984.32871,0,258.62081,2545.82149,23.38955,3.59101,0,0,0,3.10027,0,4.13651,16.76474,0,0,5.3393,0,0,10.86594,0,0,20.55932,0,0,0,0,4.15027,0,0,10.67038,12.94531,0,7.14442,22.92743,0,0,9.97482,0,8.27302,8.0642,0,0,0,0,40.94832,14.7019,0,45.29101,218.24039,0,34.86666,359.81988,0,5.14367,53.08514,4.11228,28.60569,211.43893,0
95253,Frémainville,43.33761,5.60983,0,10.62741,0,0,23.70044,0,0,66.00929,2.94918,0,26.5234,3.77339,0,10.46173,18.85029,0,0.66057,0,0,0,0,0,0.66057,0,0,0.66057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64227,0,0,0.66057,0,0,0,0,0,3.30284,0,0,0,0.66057,0,1.9817,0.66057,0,1.32113,0,0,0.66057,0,0,0,2.64227,0
95254,Frémécourt,32.85217,4.32242,0,11.30219,2.29949,0,23.73725,0,0,63.09027,1.05495,0,42.17871,4.0746,0,25.01603,0,0,0,0,0,0,0,0,0,0,0,1.00437,0,0,1.00437,0,0,0,0,0,0,0,0,0,0,0,2.00873,0,0,0,0,0,2.00873,0,0,0,0,0,6.0262,0,0,1.00437,0,0,1.00437,0,0,1.00437,0,0,1.00437,0,0,3.0131,1.00437,0
95256,Frépillon,114.75245,10.17487,0,66.3939,10.25233,0,168.38277,16.34025,0,316.18312,59.61398,1.03685,135.82644,14.28245,0,245.00851,84.39947,0,0,0,0,0,0,0,1.00455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00455,0,0,5.02275,0,0,1.00455,0,0,0,1.00455,0,0,0,0,2.0091,2.0091,0,16.0728,6.0273,0,12.0546,14.0637,0,4.0182,2.0091,0,5.02275,2.0091,0,3.01365,3.01365,0
95257,La Frette-sur-Seine,129.0691,41.29088,0,244.20499,33.09044,6.04892,366.9576,152.66571,0,433.96231,89.33826,2.02092,162.07557,27.2133,0.99667,96.4412,112.12648,0,0,0,0,3.00274,1.00091,0,2.00183,0,0,0,1.00091,0,0,2.00183,0,0,1.00091,0,2.00183,0,0,2.00183,0,0,3.00274,1.00091,0,6.00548,0,0,2.00183,0,0,0,2.00183,0,13.01187,18.01643,0,17.01552,4.00365,9.00822,30.02738,24.02191,0,37.03377,30.02738,0,20.01826,4.00365,0,5.00456,5.00456,0
95258,Frouville,46.38913,3.70053,0,14.62494,0,0,19.46218,2.81585,0,33.53071,1.0078,0,19.46645,2.7754,0,9.08676,0,0,0.88895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7779,0,0,0,0,0,1.7779,0,0,1.7779,0,0,0,0,0,0.88895,0,0,0.88895,0,0,1.7779,2.66685,0,0.88895,0,0,0.88895,0,0,0,0.88895,0,0,0,0
95268,Garges-lès-Gonesse,27.22887,159.67805,0,240.79959,523.17636,2.01925,711.85199,3639.25835,60.92551,825.41337,4340.09195,38.07313,248.03457,888.93121,13.43931,506.04324,1699.68662,11.15337,0,0,0,0,3.76559,0,2.64695,11.65647,0,3.08034,19.09086,0,6.05934,3.64864,1,0,4.89138,0,0,0,0,0,0,0,2.5314,0.8562,0,0,6.00202,0,0,0,0,0,3.83928,0,0,5.4752,0.96714,0,38.18774,0,43.6133,161.30059,0,20.29781,166.80034,2.74634,3.07857,44.82904,0,8.90402,73.3343,0
95270,Genainville,63.72633,6.14918,0,14.21541,2.04964,0,33.46178,3.06629,0,49.2422,5.11592,1.03326,21.18031,6.11597,2.06652,17.04999,1.03326,0,0,0,0,0,0,0,0,1.01124,0,0,0,0,0,2.02247,0,0,0,0,3.03371,2.02247,0,1.01124,0,0,0,0,0,3.03371,0,0,0,0,0,0,0,0,3.03371,4.04494,1.01124,2.02247,2.02247,0,10.11236,1.01124,0,1.01124,1.01124,0,2.02247,0,1.01124,1.01124,0,0
95271,Génicourt,42.13958,1.01178,0,12.09123,0,0,25.08455,4.01724,1.01178,71.35085,2.01354,1.01178,22.08406,5.05388,0,8.96275,8.00424,0,0,0,0,1.00455,0,0,0,0,0,1.00455,1.00455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01364,0,0,0,0,0,0,0,0,0,2.00909,1.00455,0,2.00909,0,2.00909,3.01364,1.00455,0,5.02273,1.00455,0,0,0,0,0,0,0
95277,Gonesse,67.00535,109.7159,0,224.30701,169.78147,1,1213.24078,1997.87356,3.3007,1252.92373,1819.79317,18.997,599.82107,995.78998,4.8492,184.04395,1336.08876,102.13042,0,2.16845,0,0,8.4415,0,2.81614,12.8143,0,6.68361,24.42695,0,0,8.87321,0,0,9.26427,0,0,0,0,2.28508,0,0,2.47145,6.6206,0,0,3.17855,0,0,3.51169,0,0,0,0,2.40254,7.82143,0,0.91619,0,0,24.66799,109.97763,0,14.34813,101.97249,0,2.7008,55.46403,0,6.58771,42.10987,7.10994
95280,Goussainville,53.29719,16.22969,4.58697,778.04894,205.86711,0.987,1931.26858,1430.75126,54.44084,1709.43026,1094.03699,98.38831,1151.70987,467.01937,61.20778,338.09216,736.36306,184.43562,3.0205,0,0,12.10182,12.67252,0,61.07149,6.22961,0,29.16783,2.99056,1.34949,57.32394,50,9,14.034,18.91388,0,0,0,0,8.13497,3.30265,0,16.82918,0,0,29.43525,0,0,21.57706,0,0,13.50357,2.85207,0.95069,0,0,0,51.04629,32.73257,0,148.23139,125.38785,3.67484,56.35634,113.33763,2.688,48.33053,20.7049,0,22.92042,46.33233,0
95287,Grisy-les-Plâtres,67.18887,2.00239,0.99255,28.00515,3.98174,0.99255,24.02916,3.99325,0.99255,45.97479,3.0007,0.99255,38.12715,5.00894,1.00991,22.13697,5.97835,38.79583,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,2,0,2,1,1,2,1,0,0,0,0,0,0,19
95288,Groslay,166.99306,128.6968,6.18332,276.44454,133.73593,0,316.92475,362.57702,0,356.6323,434.29416,1.90408,491.11442,231.71809,8.32384,181.63087,171.18922,0,2.02944,0,0,1.01472,0,2.02944,0,2.02944,0,1.01472,5.07359,0,3.04416,4.05887,0,0,2.02944,0,0,0,0,0,1.01472,0,0,1.01472,0,0,1.01472,0,2.02944,1.01472,0,0,1.01472,0,12.17662,26.38268,0,11.1619,8.11775,0,31.45628,38.55931,6.08831,13.19134,28.41212,0,13.19134,15.22078,0,9.13247,11.1619,0
95295,Guiry-en-Vexin,17.04706,1.89412,0,0.94706,0,0,7.57647,0.94706,0,18.94118,3.78824,0,4.73529,0.94706,0,3.78824,2.84118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9472,0,0,2.84161,0,0,2.84161,0,0,0.9472,0,0,0,0,0,0,0,0,0,0.9472,0,2.84161,0,0,0.9472,0,0,2.84161,0,0,0,0,0,0,0,0
95298,Haravilliers,68.99452,0,0,12.21539,0,0,18.79066,0,0,51.51635,0,0,31.37892,1.97266,0,18.54418,0,1.10105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,2.03333,0,0,0,0,0,2.03333,0,0,1.01667,0,0,7.11667,0,0,1.01667,0,0,3.05,0,0,2.03333,0,0,1.01667,0,0,2.03333,0,0
95301,Haute-Isle,22.74513,0.97434,0,29.90508,2.99804,0,45.87033,2.02477,0,17.0726,0,0,10.90584,0,0,0.99283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94619,0,0,6.96861,0,0,5.97309,0,0,0,0,0,0.99552,0,0,0.99552,0,0,0.99552,0,0,1.99103,0,0,4.97758,1.99103,0,0,0,0,0.99552,0,0,0,0,0
95303,Le Heaulme,21,0,0,5,3,0,10,2,0,30,3,0,8,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95304,Hédouville,35.24222,0,0,14.57392,0,0,18.30548,0,0,35.79455,0,0,10.9187,0,0,5.79165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08571,0,0,4.05714,0,0,1.01429,0,0,0,0,0,0,0,0,1.01429,0,0,4.05714,0,0,0,1.01429,0,0,0,0,0,0,0,0,0,0
95306,Herblay-sur-Seine,334.10193,115.48777,0,599.24485,134.86054,0,1072.94421,880.27247,7.57848,2480.43849,1016.69431,30.95881,1172.60876,887.6378,54.39051,995.30161,1992.32622,73.9591,5.4932,0,0.89463,3.14744,0,0,0,14.31719,0,0.89532,0,0,0,2.40825,0.89463,3.43961,12.90011,2.78123,0,0,0,4.54715,0,0,0,0,0,6.10599,8.69875,1.39061,3.14744,7.33527,0.89463,0,6.86899,2.28524,37.01462,13.75845,0,23.77743,20.40589,4.83054,81.35419,92.02459,0,169.59725,214.00928,2.55552,89.89723,117.48003,0,39.13867,313.57478,0
95308,Hérouville-en-Vexin,40.95196,3.80944,0,8.56767,10.46711,0,19.05217,5.71137,0,63.7943,7.61702,0,39.99756,2.85382,1.90317,14.28587,2.85506,0,0,0,0,0,0,0,0,0,0,1.99617,3.99234,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99617,0,0,0,0,0,0,0,0,0,0,0,1.99617,1.99617,1.99617,1.99617,0,0,0,0,0,0,1.99617,0,0,0,0,0,0,0
95309,Hodent,28,0,1,5,0,0,11,0,0,18,1,0,18,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,1,0,3,0,0,2,0,0,0,0,0,0,0,0
95313,L'Isle-Adam,350.56606,115.42295,3.55133,253.16687,125.62643,0,495.59844,602.42918,8.93,1033.18952,856.63014,41.77682,322.08512,782.96854,5.60466,200.35885,693.89449,72.11534,13.40828,3.04725,0,0,0,0,0,10.35792,0,7.87016,3.94401,45.16418,6.72051,21.1146,0,0.95941,3.25409,0,23.2286,3.1202,0,6.65845,3.09646,0,17.74197,11.35145,0,3.44596,22.23575,0,0,14.52641,0,0.98384,15.88765,0,49.85221,16.88938,0,17.3188,10.71165,0,31.81845,55.72311,3.93535,27.96863,68.35674,0,18.54513,86.60038,0,14.40254,32.74885,0
95316,Jagny-sous-Bois,14.72777,2.92862,0,4.91677,0,0,9.83401,0,0,30.39445,0.97113,0,22.7333,0.97872,0,12.86159,0.97113,0,1.96825,0,0,0,0,0,0,0,0,0,0,0,0.98413,0,0,1.96825,0,0,2.95238,0,0,1.96825,0,0,0,0,0,0,0,0,0.98413,0,0,0,0,0,1.96825,0,0,0,0,0,0,0,0,1.96825,0,0,1.96825,0,0,2.95238,0.98413,0
95323,Jouy-le-Moutier,149.9447,14.31297,0,71.71034,10.67114,0,185.40961,75.15921,0,3341.15467,601.91242,3.23411,472.46165,665.59534,2.8776,133.92903,468.95921,3.93813,0,2.87763,1.01755,0,0,0,0,2.97873,1.01755,9.3588,0,0,0,18.06144,0,0,8.57321,0,3.3682,0,0,3.3214,0,0,0,0,0,0,0,0,0,11.8887,0,3.3682,2.12108,0,9.97896,6.34694,0,16.25221,0,0,3.91314,0,0,75.95844,53.38255,0,9.79183,74.03625,0,6.47884,19.56525,0
95328,Labbeville,71.14791,14.06373,0,26.77239,11.20752,0,22.60708,12.20141,0,36.86631,3.03348,0,15.50071,5.07064,0,28.60796,9.07981,0,0,0,0,0,0.64748,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58993,0,0,0.64748,0,0,1.29496,0,0,0.64748,0,0,1.29496,0,0,0,0,0,5.17986,1.29496,0,3.23741,0.64748,0,0.64748,0,0,0,0,0,0,0.64748,0,0.64748,0,0
95331,Lassy,8.86368,0.98485,0,6.89397,0.98485,0,9.84853,0,0,14.7728,4.92427,0,7.87883,5.90912,0.98485,6.89397,2.95456,0,0.74757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74757,0.74757,0,1.49513,0,0,0,0.74757,0.74757,1.49513,0,0
95341,Livilliers,32.25276,4.04699,0,7.07073,2.03645,0,10.15633,3.05468,0,54.65323,4.06772,0,17.17538,3.04433,0,10.10979,7.08616,0,0,1.01143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03429,0,0,0,0,0,1.01143,0,0,1.01143,0,0,0,0,0,0,0,0,3.03429,5.05714,0,1.01143,0,0,0,0,0,2.02286,1.01143,0,2.02286,0,0,0,0,0
95348,Longuesse,35.8617,0,0,10.04317,1.04424,0,23.47764,0,0,71.16098,3.09863,0,31.39103,9.29702,0,20.59414,7.03919,2.02142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,4,0,0,1,1,0,1,0,0
95351,Louvres,78.50324,27.78436,0,105.97366,33.32008,0,530.97775,348.05947,6.05226,1115.71095,605.0444,5.44416,360.19464,409.72919,5.53502,109.99095,772.16261,15.15529,0,5.21541,0,0,0,0,0,0,0,5.78242,6.60559,0,4.68594,0,0,0,11.10887,0,0,0,0,0,0,0,5.44396,0,0,0,0,0,0,0,0,9.84278,1.10257,0,5.21541,0,0,10.43916,0,0,29.84997,12.81741,0,35.88356,54.61093,0,14.61512,14.54658,0,0,41.22044,0
95352,Luzarches,175.08036,93.02702,2.03325,76.30338,29.59324,0,190.73629,111.70266,3.04987,430.78426,163.3132,1.01662,239.08158,146.10432,0,238.42106,159.52092,0,1.03045,1.03045,0,1.03045,0,0,2.06091,0,0,0,1.03045,0,0,1.03045,0,0,0,0,7.21317,1.03045,0,2.06091,0,0,1.03045,3.09136,0,6.18272,3.09136,0,7.21317,1.03045,0,4.12181,0,1.03045,12.36543,27.82223,0,3.09136,10.30453,0,15.45679,22.66996,0,18.54815,30.91359,0,6.18272,26.79178,0,11.33498,12.36543,0
95353,Maffliers,52.53295,21.57663,0,29.99033,9.87555,0,45.30473,27.04393,1.789,203.03548,8.10464,0,104.86194,18.87478,0,49.47534,114.37775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05926,0,0,3.17779,1.05926,0,0,0,0,0,1.05926,0,2.11852,0,0,0,1.05926,0,2.11852,8.4741,0,0,1.05926,0,2.11852,3.17779,0,3.17779,0,0,9.53336,1.05926,0,0,6.35557,0
95355,Magny-en-Vexin,283.1,109.68113,2.84774,87.44924,87.02736,0,168.57995,195.38253,6.86687,498.86795,330.73106,7.69587,227.7812,76.39876,4.86798,149.2353,138.67389,0.94925,3.00175,1.00058,0,3.00175,0,1.00058,4.00233,1.00058,1.00058,3.00175,1.00058,0,2.00116,0,0,0,0,0,9.00524,1.00058,0,1.00058,0,0,1.00058,1.00058,0,5.00291,0,0,1.00058,0,0,0,0,0,33.0192,39.0227,0,17.00989,16.00931,0,23.01339,17.00989,0,18.01048,37.02153,0,9.00524,8.00466,0,2.00116,7.00407,0
95365,Mareil-en-France,17.47104,0.97955,0,18.46339,6.83621,0,24.1267,5.93186,0,81.62158,13.76849,0,34.96451,15.81501,0,23.19842,28.24798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1229,0,0,1.06145,0,0,0,0,0,0,0,0,0,4.24579,0,0,1.06145,0,1.06145,0,0,4.24579,0,0,4.24579,0,0,4.24579,0,0,1.06145,4.24579,0,0,2.1229,0
